,Country/Region,Confirmed_diff,Deaths_diff,Recovered_diff,date_diff
186,Nepal,0,0,0,0 days 12:39:00.000000000
185,Cabo Verde,0,0,0,0 days 12:39:00.000000000
184,Mauritania,0,0,0,0 days 12:39:00.000000000
79,Uruguay,0,1,0,0 days 12:39:00.000000000
182,Vatican City,0,0,0,0 days 12:39:00.000000000
180,St. Barth,0,0,0,0 days 12:39:00.000000000
155,Saint Martin,0,0,0,0 days 12:39:00.000000000
157,Cayman Islands,0,0,0,0 days 12:39:00.000000000
128,French Guiana,0,0,0,0 days 12:39:00.000000000
126,Aruba,0,0,0,0 days 12:39:00.000000000
57,Egypt,0,0,0,0 days 12:39:00.000000000
124,Madagascar,0,0,0,0 days 12:39:00.000000000
56,Diamond Princess,0,0,0,0 days 12:39:00.000000000
122,Liechtenstein,0,0,0,0 days 12:39:00.000000000
92,Afghanistan,0,0,0,0 days 12:39:00.000000000
13,South Korea,0,0,0,0 days 12:39:00.000000000
50,Colombia,0,0,0,0 days 12:39:00.000000000
47,Argentina,0,1,8,0 days 12:39:00.000000000
117,Trinidad and Tobago,0,1,0,0 days 12:39:00.000000000
116,Mayotte,0,0,0,0 days 12:39:00.000000000
115,Cambodia,0,0,2,0 days 12:39:00.000000000
45,Panama,0,0,0,0 days 12:39:00.000000000
97,Ivory Coast,0,0,0,0 days 12:39:00.000000000
112,Guadeloupe,0,0,0,0 days 12:39:00.000000000
111,Bolivia,0,0,0,0 days 12:39:00.000000000
99,Honduras,0,0,0,0 days 12:39:00.000000000
44,Mexico,0,0,0,0 days 12:39:00.000000000
108,Martinique,0,0,0,0 days 12:39:00.000000000
58,New Zealand,0,0,0,0 days 12:39:00.000000000
129,Uganda,0,0,0,0 days 12:39:00.000000000
66,Hungary,0,4,0,0 days 12:39:00.000000000
130,Macao,0,0,0,0 days 12:39:00.000000000
32,Japan,0,0,48,0 days 12:39:00.000000000
154,Myanmar,0,0,0,0 days 12:39:00.000000000
153,Bahamas,0,0,0,0 days 12:39:00.000000000
152,Eritrea,0,0,0,0 days 12:39:00.000000000
151,Equatorial Guinea,0,0,0,0 days 12:39:00.000000000
150,New Caledonia,0,0,0,0 days 12:39:00.000000000
149,Haiti,0,0,0,0 days 12:39:00.000000000
145,Congo,0,0,0,0 days 12:39:00.000000000
61,United Arab Emirates,0,0,0,0 days 12:39:00.000000000
59,Iraq,0,0,0,0 days 12:39:00.000000000
78,Costa Rica,0,0,0,0 days 12:39:00.000000000
140,Bermuda,0,0,0,0 days 12:39:00.000000000
139,El Salvador,0,0,0,0 days 12:39:00.000000000
87,San Marino,0,0,0,0 days 12:39:00.000000000
137,Barbados,0,0,0,0 days 12:39:00.000000000
136,Niger,0,0,0,0 days 12:39:00.000000000
135,Zambia,0,0,0,0 days 12:39:00.000000000
133,French Polynesia,0,0,0,0 days 12:39:00.000000000
132,Jamaica,0,0,0,0 days 12:39:00.000000000
204,Timor-Leste,0,0,0,0 days 12:39:00.000000000
