Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered
,Mayotte,04/05/2020 16:34,134,2,14
,Isle of Man,04/05/2020 16:34,127,1,0
,Guinea,04/05/2020 16:34,121,0,5
,Cambodia,04/05/2020 16:34,114,0,50
,Trinidad and Tobago,04/05/2020 16:34,104,7,1
,Paraguay,04/05/2020 16:34,104,3,12
,Gibraltar,04/05/2020 16:34,103,0,52
,Rwanda,04/05/2020 16:34,102,0,4
,Bangladesh,04/05/2020 16:34,88,9,33
,Liechtenstein,04/05/2020 16:34,77,1,0
,Madagascar,04/05/2020 16:34,72,0,2
,Monaco,04/05/2020 16:34,66,1,3
,Aruba,04/05/2020 16:34,64,0,1
,El Salvador,04/05/2020 16:34,62,3,2
,Guatemala,04/05/2020 16:34,61,2,15
,French Guiana,04/05/2020 16:34,61,0,22
,Djibouti,04/05/2020 16:34,59,0,9
,Jamaica,04/05/2020 16:34,55,3,7
,Barbados,04/05/2020 16:34,52,0,0
,Uganda,04/05/2020 16:34,48,0,0
,Congo,04/05/2020 16:34,45,5,2
Macau,Macau,04/05/2020 16:34,44,0,10
,Togo,04/05/2020 16:34,44,3,20
,Ethiopia,04/05/2020 16:34,43,1,4
,Mali,04/05/2020 16:34,41,3,1
,French Polynesia,04/05/2020 16:34,40,0,0
,Zambia,04/05/2020 16:34,39,1,3
,Bermuda,04/05/2020 16:34,37,0,14
,Cayman Islands,04/05/2020 16:34,35,1,1
,Saint Martin,04/05/2020 16:34,29,2,7
,Eritrea,04/05/2020 16:34,29,0,0
,Bahamas,04/05/2020 16:34,28,4,0
,Sint Maarten,04/05/2020 16:34,25,4,6
,Guyana,04/05/2020 16:34,24,4,0
,Gabon,04/05/2020 16:34,21,1,1
,Myanmar,04/05/2020 16:34,21,1,0
,Haiti,04/05/2020 16:34,21,0,1
,Tanzania,04/05/2020 16:34,20,1,3
,Syria,04/05/2020 16:34,19,2,2
,Maldives,04/05/2020 16:34,19,0,13
,Libya,04/05/2020 16:34,18,1,0
,Guinea-Bissau,04/05/2020 16:34,18,0,0
,New Caledonia,04/05/2020 16:34,17,0,1
,Benin,04/05/2020 16:34,16,0,2
,Namibia,04/05/2020 16:34,16,0,3
,Equatorial Guinea,04/05/2020 16:34,16,0,1
,Antigua and Barbuda,04/05/2020 16:34,15,0,0
,Mongolia,04/05/2020 16:34,14,0,2
,Dominica,04/05/2020 16:34,14,0,0
,Saint Lucia,04/05/2020 16:34,14,0,1
,Liberia,04/05/2020 16:34,13,3,3
,Sudan,04/05/2020 16:34,12,2,2
,Fiji,04/05/2020 16:34,12,0,0
,Grenada,04/05/2020 16:34,12,0,0
,Curacao,04/05/2020 16:34,11,1,5
,Greenland,04/05/2020 16:34,11,0,3
,Laos,04/05/2020 16:34,11,0,0
,Seychelles,04/05/2020 16:34,10,0,0
