Province/State,Country/Region,Last Update,confirmed,deaths,recovered
,Peru,03/28/2020 08:45,635,11,16.0
,Croatia,03/28/2020 08:45,635,4,45.0
,Slovenia,03/28/2020 08:45,632,9,10.0
,Dominican Republic,03/28/2020 08:45,581,20,3.0
,Estonia,03/28/2020 08:45,575,1,11.0
,Qatar,03/28/2020 08:45,562,0,43.0
,Colombia,03/28/2020 08:45,539,6,10.0
,Egypt,03/28/2020 08:45,536,30,116.0
,Serbia,03/28/2020 08:45,528,8,42.0
Hong Kong,Hong Kong,03/28/2020 08:45,519,4,111.0
,Bahrain,03/28/2020 08:45,473,4,254.0
,Iraq,03/28/2020 08:45,458,40,122.0
,New Zealand,03/28/2020 08:45,451,0,50.0
,Algeria,03/28/2020 08:45,409,26,29.0
,United Arab Emirates,03/28/2020 08:45,405,2,52.0
,Lebanon,03/28/2020 08:45,391,8,27.0
,Lithuania,03/28/2020 08:45,382,5,1.0
,Armenia,03/28/2020 08:45,372,1,28.0
,Morocco,03/28/2020 08:45,358,23,11.0
,Hungary,03/28/2020 08:45,343,11,34.0
,Bulgaria,03/28/2020 08:45,313,4,9.0
,Ukraine,03/28/2020 08:45,310,5,5.0
,Latvia,03/28/2020 08:45,305,0,1.0
,Uruguay,03/28/2020 08:45,274,0,0.0
,Slovakia,03/28/2020 08:45,269,0,2.0
,Andorra,03/28/2020 08:45,267,3,1.0
Taiwan,Taiwan,03/28/2020 08:45,267,2,30.0
,Costa Rica,03/28/2020 08:45,263,2,3.0
,Bosnia and Herzegovina,03/28/2020 08:45,237,4,5.0
,Jordan,03/28/2020 08:45,235,1,18.0
,Tunisia,03/28/2020 08:45,227,7,2.0
,Kuwait,03/28/2020 08:45,225,0,57.0
,San Marino,03/28/2020 08:45,223,21,6.0
,North Macedonia,03/28/2020 08:45,219,3,3.0
,Moldova,03/28/2020 08:45,199,2,2.0
,Albania,03/28/2020 08:45,186,8,31.0
,Burkina Faso,03/28/2020 08:45,180,9,12.0
,Vietnam,03/28/2020 08:45,169,0,20.0
,Azerbaijan,03/28/2020 08:45,165,3,15.0
,Cyprus,03/28/2020 08:45,162,5,15.0
,Oman,03/28/2020 08:45,152,0,23.0
,Kazakhstan,03/28/2020 08:45,150,1,3.0
,Reunion,03/28/2020 08:45,145,0,1.0
,Faeroe Islands,03/28/2020 08:45,144,0,54.0
,Malta,03/28/2020 08:45,139,0,2.0
,Ghana,03/28/2020 08:45,137,4,2.0
,Senegal,03/28/2020 08:45,119,0,11.0
,Brunei,03/28/2020 08:45,115,1,11.0
,Venezuela,03/28/2020 08:45,113,2,31.0
,Afghanistan,03/28/2020 08:45,110,4,2.0
,Sri Lanka,03/28/2020 08:45,106,0,9.0
,Uzbekistan,03/28/2020 08:45,104,2,5.0
,Ivory Coast,03/28/2020 08:45,101,0,3.0
,Cambodia,03/28/2020 08:45,99,0,13.0
,Honduras,03/28/2020 08:45,95,1,3.0
,Mauritius,03/28/2020 08:45,94,2,0.0
,Belarus,03/28/2020 08:45,94,0,32.0
,Martinique,03/28/2020 08:45,93,1,0.0
,Palestine,03/28/2020 08:45,91,1,17.0
,Cameroon,03/28/2020 08:45,91,2,2.0
,Channel Islands,03/28/2020 08:45,88,1,0.0
,Georgia,03/28/2020 08:45,85,0,14.0
,Montenegro,03/28/2020 08:45,82,1,0.0
,Nigeria,03/28/2020 08:45,81,1,3.0
,Cuba,03/28/2020 08:45,80,2,4.0
,Bolivia,03/28/2020 08:45,74,0,0.0
,Guadeloupe,03/28/2020 08:45,73,1,0.0
,Trinidad and Tobago,03/28/2020 08:45,66,2,1.0
,Kyrgyzstan,03/28/2020 08:45,58,0,0.0
,Paraguay,03/28/2020 08:45,56,3,1.0
,Liechtenstein,03/28/2020 08:45,56,0,0.0
,Gibraltar,03/28/2020 08:45,55,0,14.0
,Rwanda,03/28/2020 08:45,54,0,0.0
,DRC,03/28/2020 08:45,51,3,2.0
,Mayotte,03/28/2020 08:45,50,0,0.0
,Bangladesh,03/28/2020 08:45,48,5,15.0
,Monaco,03/28/2020 08:45,42,0,1.0
Macau,Macau,03/28/2020 08:45,34,0,10.0
,Aruba,03/28/2020 08:45,33,0,1.0
,Guatemala,03/28/2020 08:45,32,1,4.0
,Kenya,03/28/2020 08:45,31,1,1.0
,French Polynesia,03/28/2020 08:45,30,0,0.0
