Province/State,Confirmed,Deaths,Recovered,Country/Region,Last Update
,107,1,31.0,Venezuela,3/27/2020 14:23
,106,0,7.0,Sri Lanka,3/27/2020 14:23
,99,0,11.0,Cambodia,3/27/2020 14:23
,96,0,3.0,Ivory Coast,3/27/2020 14:23
,94,4,2.0,Afghanistan,3/27/2020 14:23
,94,0,32.0,Belarus,3/27/2020 14:23
,91,1,17.0,Palestine,3/27/2020 14:23
,88,2,2.0,Cameroon,3/27/2020 14:23
,83,1,5.0,Uzbekistan,3/27/2020 14:23
,81,2,0.0,Mauritius,3/27/2020 14:23
,81,1,0.0,Martinique,3/27/2020 14:23
,81,0,13.0,Georgia,3/27/2020 14:23
,80,1,0.0,Channel Islands,3/27/2020 14:23
,73,1,0.0,Guadeloupe,3/27/2020 14:23
,70,1,0.0,Montenegro,3/27/2020 14:23
,68,1,0.0,Honduras,3/27/2020 14:23
,67,2,1.0,Cuba,3/27/2020 14:23
,65,1,3.0,Nigeria,3/27/2020 14:23
,65,1,0.0,Trinidad and Tobago,3/27/2020 14:23
,61,0,0.0,Bolivia,3/27/2020 14:23
,58,0,0.0,Kyrgyzstan,3/27/2020 14:23
,56,0,0.0,Liechtenstein,3/27/2020 14:23
,52,3,1.0,Paraguay,3/27/2020 14:23
,51,3,2.0,DRC,3/27/2020 14:23
,50,0,0.0,Mayotte,3/27/2020 14:23
,50,0,0.0,Rwanda,3/27/2020 14:23
,48,5,11.0,Bangladesh,3/27/2020 14:23
,35,0,13.0,Gibraltar,3/27/2020 14:23
Macau,34,0,10.0,Macau,3/27/2020 14:23
,33,0,1.0,Monaco,3/27/2020 14:23
,31,1,1.0,Kenya,3/27/2020 14:23
,30,0,0.0,French Polynesia,3/27/2020 14:23
,29,0,0.0,Isle of Man,3/27/2020 14:23
,28,0,1.0,Aruba,3/27/2020 14:23
,28,0,6.0,French Guiana,3/27/2020 14:23
,26,1,2.0,Jamaica,3/27/2020 14:23
,25,1,4.0,Guatemala,3/27/2020 14:23
,25,0,1.0,Togo,3/27/2020 14:23
,24,0,0.0,Barbados,3/27/2020 14:23
,24,0,0.0,Madagascar,3/27/2020 14:23
,18,0,0.0,Uganda,3/27/2020 14:23
,16,0,0.0,Ethiopia,3/27/2020 14:23
,16,0,0.0,Zambia,3/27/2020 14:23
,15,0,2.0,Bermuda,3/27/2020 14:23
,15,0,0.0,New Caledonia,3/27/2020 14:23
,14,0,9.0,Maldives,3/27/2020 14:23
,13,0,0.0,El Salvador,3/27/2020 14:23
,13,0,1.0,Tanzania,3/27/2020 14:23
,12,0,0.0,Djibouti,3/27/2020 14:23
,12,0,0.0,Equatorial Guinea,3/27/2020 14:23
,11,0,0.0,Dominica,3/27/2020 14:23
,11,0,0.0,Mali,3/27/2020 14:23
,11,0,0.0,Mongolia,3/27/2020 14:23
,11,0,0.0,Saint Martin,3/27/2020 14:23
,10,1,0.0,Niger,3/27/2020 14:23
,9,0,1.0,Bahamas,3/27/2020 14:23
,9,0,2.0,Greenland,3/27/2020 14:23
