Country/Region,confirmed,deaths,recovered,Last Update
Sint Maarten,3,0,0,03/29/2020 14:46
Somalia,3,0,0,03/29/2020 14:46
Chad,3,0,0,03/29/2020 14:46
CAR,3,0,0,03/29/2020 14:46
Gambia,3,1,0,03/29/2020 14:46
Libya,3,0,0,03/29/2020 14:46
MS Zaandam,2,0,0,03/29/2020 14:46
Anguilla,2,0,0,03/29/2020 14:46
Belize,2,0,0,03/29/2020 14:46
British Virgin Islands,2,0,0,03/29/2020 14:46
Guinea-Bissau,2,0,0,03/29/2020 14:46
Saint Kitts and Nevis,2,0,0,03/29/2020 14:46
Papua New Guinea,1,0,0,03/29/2020 14:46
St. Vincent Grenadines,1,0,1,03/29/2020 14:46
Timor-Leste,82420,3306,75600,03/29/2020 14:46
