Province/State,Country/Region,Last Update,confirmed,deaths,recovered
,Namibia,03/28/2020 08:42,8,0,2.0
,Suriname,03/28/2020 08:42,8,0,0.0
,Gabon,03/28/2020 08:42,7,1,0.0
,Antigua and Barbuda,03/28/2020 08:42,7,0,0.0
,Grenada,03/28/2020 08:42,7,0,0.0
,Mozambique,03/28/2020 08:42,7,0,0.0
,Seychelles,03/28/2020 08:42,7,0,0.0
,Benin,03/28/2020 08:42,6,0,0.0
,Eritrea,03/28/2020 08:42,6,0,0.0
,Laos,03/28/2020 08:42,6,0,0.0
,Cabo Verde,03/28/2020 08:42,5,1,0.0
,Guyana,03/28/2020 08:42,5,1,0.0
,Sudan,03/28/2020 08:42,5,1,0.0
,Zimbabwe,03/28/2020 08:42,5,1,0.0
,Fiji,03/28/2020 08:42,5,0,0.0
,Mauritania,03/28/2020 08:42,5,0,0.0
,Montserrat,03/28/2020 08:42,5,0,0.0
,St. Barth,03/28/2020 08:42,5,0,0.0
,Syria,03/28/2020 08:42,5,0,0.0
,Nicaragua,03/28/2020 08:42,4,1,0.0
,Nepal,03/28/2020 08:42,4,0,1.0
,Angola,03/28/2020 08:42,4,0,0.0
,Congo,03/28/2020 08:42,4,0,0.0
,Vatican City,03/28/2020 08:42,4,0,0.0
,Gambia,03/28/2020 08:42,3,1,0.0
,Bhutan,03/28/2020 08:42,3,0,0.0
,CAR,03/28/2020 08:42,3,0,0.0
,Chad,03/28/2020 08:42,3,0,0.0
,Liberia,03/28/2020 08:42,3,0,0.0
,Saint Lucia,03/28/2020 08:42,3,0,1.0
,Sint Maarten,03/28/2020 08:42,3,0,0.0
,Somalia,03/28/2020 08:42,3,0,0.0
,MS Zaandam,03/28/2020 08:42,2,0,0.0
,Anguilla,03/28/2020 08:42,2,0,0.0
,Belize,03/28/2020 08:42,2,0,0.0
,British Virgin Islands,03/28/2020 08:42,2,0,0.0
,Guinea-Bissau,03/28/2020 08:42,2,0,0.0
,Saint Kitts and Nevis,03/28/2020 08:42,2,0,0.0
,Turks and Caicos,03/28/2020 08:42,2,0,0.0
,Libya,03/28/2020 08:42,1,0,0.0
,Papua New Guinea,03/28/2020 08:42,1,0,0.0
,St. Vincent Grenadines,03/28/2020 08:42,1,0,0.0
,Timor-Leste,03/28/2020 08:42,1,0,0.0
